REEF_SITE,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,BLEACH_STATUS,ABUNDANCE,PERCENT_ABUNDANCE
ATL,APR,06/04/2024,CREST,1,Bleached,28,6
ATL,APR,06/04/2024,CREST,1,H,423,94
ATL,APR,06/04/2024,CREST,2,Bleached,45,10
ATL,APR,06/04/2024,CREST,2,H,398,90
ATL,APR,06/04/2024,CREST,3,Bleached,56,9
ATL,APR,06/04/2024,CREST,3,H,571,91
ATL,APR,19/04/2024,FLAT,1,Bleached,77,10
ATL,APR,19/04/2024,FLAT,1,H,719,90
ATL,APR,19/04/2024,FLAT,2,Bleached,91,13
ATL,APR,19/04/2024,FLAT,2,H,619,87
ATL,APR,19/04/2024,FLAT,3,Bleached,91,14
ATL,APR,19/04/2024,FLAT,3,H,569,86
ATL,AUG,03/08/2024,CREST,1,Bleached,103,22
ATL,AUG,03/08/2024,CREST,1,H,357,78
ATL,AUG,03/08/2024,CREST,2,Bleached,146,30
ATL,AUG,03/08/2024,CREST,2,H,347,70
ATL,AUG,03/08/2024,CREST,3,Bleached,163,30
ATL,AUG,03/08/2024,CREST,3,H,389,70
ATL,JUL,10/07/2024,CREST,1,Bleached,355,61
ATL,JUL,10/07/2024,CREST,1,H,223,39
ATL,JUL,10/07/2024,CREST,2,Bleached,292,59
ATL,JUL,10/07/2024,CREST,2,H,204,41
ATL,JUL,10/07/2024,CREST,3,Bleached,294,54
ATL,JUL,10/07/2024,CREST,3,H,255,46
ATL,JUL,26/07/2024,CREST,1,Bleached,176,29
ATL,JUL,26/07/2024,CREST,1,H,439,71
ATL,JUL,26/07/2024,CREST,2,Bleached,250,37
ATL,JUL,26/07/2024,CREST,2,H,433,63
ATL,JUL,26/07/2024,CREST,3,Bleached,137,31
ATL,JUL,26/07/2024,CREST,3,H,306,69
ATL,JUN,07/06/2024,FLAT,1,Bleached,230,50
ATL,JUN,07/06/2024,FLAT,1,H,234,50
ATL,JUN,07/06/2024,FLAT,2,Bleached,203,41
ATL,JUN,07/06/2024,FLAT,2,H,293,59
ATL,JUN,07/06/2024,FLAT,3,Bleached,226,41
ATL,JUN,07/06/2024,FLAT,3,H,326,59
ATL,JUN,16/06/2024,FLAT,1,Bleached,345,44
ATL,JUN,16/06/2024,FLAT,1,H,444,56
ATL,JUN,16/06/2024,FLAT,2,Bleached,294,37
ATL,JUN,16/06/2024,FLAT,2,H,505,63
ATL,JUN,16/06/2024,FLAT,3,Bleached,372,39
ATL,JUN,16/06/2024,FLAT,3,H,583,61
ATL,JUN,19/06/2024,CREST,1,Bleached,183,50
ATL,JUN,19/06/2024,CREST,1,H,184,50
ATL,JUN,19/06/2024,CREST,2,Bleached,172,46
ATL,JUN,19/06/2024,CREST,2,H,202,54
ATL,JUN,19/06/2024,CREST,3,Bleached,367,56
ATL,JUN,19/06/2024,CREST,3,H,285,44
ATL,MAR,09/03/2024,CREST,1,Bleached,24,4
ATL,MAR,09/03/2024,CREST,1,H,587,96
ATL,MAR,09/03/2024,CREST,2,Bleached,28,5
ATL,MAR,09/03/2024,CREST,2,H,518,95
ATL,MAR,09/03/2024,CREST,3,Bleached,29,5
ATL,MAR,09/03/2024,CREST,3,H,561,95
ATL,MAR,14/03/2024,CREST,1,Bleached,59,11
ATL,MAR,14/03/2024,CREST,1,H,476,89
ATL,MAR,14/03/2024,CREST,2,Bleached,54,11
ATL,MAR,14/03/2024,CREST,2,H,438,89
ATL,MAR,14/03/2024,CREST,3,Bleached,53,12
ATL,MAR,14/03/2024,CREST,3,H,390,88
ATL,MAR,28/03/2024,FLAT,1,Bleached,92,8
ATL,MAR,28/03/2024,FLAT,1,H,1116,92
ATL,MAR,28/03/2024,FLAT,2,Bleached,142,12
ATL,MAR,28/03/2024,FLAT,2,H,1029,88
ATL,MAY,15/05/2024,CREST,1,Bleached,55,12
ATL,MAY,15/05/2024,CREST,1,H,413,88
ATL,MAY,15/05/2024,CREST,2,Bleached,68,15
ATL,MAY,15/05/2024,CREST,2,H,400,85
ATL,MAY,15/05/2024,CREST,3,Bleached,61,13
ATL,MAY,15/05/2024,CREST,3,H,422,87
ATL,OCT,23/10/2024,CREST,1,Bleached,9,2
ATL,OCT,23/10/2024,CREST,1,H,424,98
ATL,OCT,23/10/2024,CREST,2,Bleached,12,3
ATL,OCT,23/10/2024,CREST,2,H,376,97
ATL,OCT,23/10/2024,CREST,3,Bleached,17,4
ATL,OCT,23/10/2024,CREST,3,H,463,96
ATL,SEP,21/09/2024,CREST,1,Bleached,63,15
ATL,SEP,21/09/2024,CREST,1,H,358,85
ATL,SEP,21/09/2024,CREST,2,Bleached,48,12
ATL,SEP,21/09/2024,CREST,2,H,352,88
ATL,SEP,21/09/2024,CREST,3,Bleached,44,9
ATL,SEP,21/09/2024,CREST,3,H,443,91
HS,APR,26/04/2024,CREST,1,Bleached,99,22
HS,APR,26/04/2024,CREST,1,H,360,78
HS,APR,26/04/2024,CREST,2,Bleached,87,21
HS,APR,26/04/2024,CREST,2,H,322,79
HS,APR,26/04/2024,CREST,3,Bleached,60,14
HS,APR,26/04/2024,CREST,3,H,361,86
HS,APR,26/04/2024,FLAT,1,Bleached,62,17
HS,APR,26/04/2024,FLAT,1,H,299,83
HS,APR,26/04/2024,FLAT,2,Bleached,49,13
HS,APR,26/04/2024,FLAT,2,H,317,87
HS,APR,26/04/2024,FLAT,3,Bleached,43,10
HS,APR,26/04/2024,FLAT,3,H,397,90
HS,AUG,02/08/2024,CREST,1,Bleached,153,39
HS,AUG,02/08/2024,CREST,1,H,244,61
HS,AUG,02/08/2024,CREST,2,Bleached,248,45
HS,AUG,02/08/2024,CREST,2,H,308,55
HS,AUG,02/08/2024,CREST,3,Bleached,159,32
HS,AUG,02/08/2024,CREST,3,H,342,68
HS,AUG,22/08/2024,CREST,1,Bleached,98,15
HS,AUG,22/08/2024,CREST,1,H,563,85
HS,AUG,22/08/2024,CREST,2,Bleached,100,15
HS,AUG,22/08/2024,CREST,2,H,578,85
HS,FEB,17/02/2024,CREST,1,Bleached,13,3
HS,FEB,17/02/2024,CREST,1,H,385,97
HS,FEB,17/02/2024,CREST,2,Bleached,10,3
HS,FEB,17/02/2024,CREST,2,H,316,97
HS,FEB,17/02/2024,CREST,3,Bleached,14,3
HS,FEB,17/02/2024,CREST,3,H,402,97
HS,FEB,29/02/2024,CREST,1,Bleached,38,22
HS,FEB,29/02/2024,CREST,1,H,137,78
HS,FEB,29/02/2024,CREST,2,Bleached,34,18
HS,FEB,29/02/2024,CREST,2,H,153,82
HS,FEB,29/02/2024,CREST,3,Bleached,32,22
HS,FEB,29/02/2024,CREST,3,H,116,78
HS,JUL,20/07/2024,CREST,1,Bleached,146,44
HS,JUL,20/07/2024,CREST,1,H,189,56
HS,JUL,20/07/2024,CREST,2,Bleached,159,50
HS,JUL,20/07/2024,CREST,2,H,157,50
HS,JUL,20/07/2024,CREST,3,Bleached,138,51
HS,JUL,20/07/2024,CREST,3,H,133,49
HS,JUN,26/06/2024,CREST,1,Bleached,116,51
HS,JUN,26/06/2024,CREST,1,H,112,49
HS,JUN,26/06/2024,CREST,2,Bleached,131,56
HS,JUN,26/06/2024,CREST,2,H,103,44
HS,JUN,26/06/2024,CREST,3,Bleached,139,54
HS,JUN,26/06/2024,CREST,3,H,118,46
HS,MAR,07/03/2024,CREST,1,Bleached,15,6
HS,MAR,07/03/2024,CREST,1,H,254,94
HS,MAR,07/03/2024,CREST,2,Bleached,17,8
HS,MAR,07/03/2024,CREST,2,H,192,92
HS,MAR,07/03/2024,CREST,3,Bleached,19,8
HS,MAR,07/03/2024,CREST,3,H,220,92
HS,MAR,22/03/2024,CREST,1,Bleached,22,6
HS,MAR,22/03/2024,CREST,1,H,331,94
HS,MAR,22/03/2024,CREST,2,Bleached,19,5
HS,MAR,22/03/2024,CREST,2,H,331,95
HS,MAR,22/03/2024,CREST,3,Bleached,19,5
HS,MAR,22/03/2024,CREST,3,H,341,95
HS,MAR,29/03/2024,FLAT,1,Bleached,37,9
HS,MAR,29/03/2024,FLAT,1,H,389,91
HS,MAR,29/03/2024,FLAT,2,Bleached,34,7
HS,MAR,29/03/2024,FLAT,2,H,451,93
HS,MAR,29/03/2024,FLAT,3,Bleached,38,8
HS,MAR,29/03/2024,FLAT,3,H,441,92
HS,MAY,02/05/2024,CREST,1,Bleached,165,32
HS,MAY,02/05/2024,CREST,1,H,351,68
HS,MAY,02/05/2024,CREST,2,Bleached,144,27
HS,MAY,02/05/2024,CREST,2,H,384,73
HS,MAY,02/05/2024,CREST,3,Bleached,139,24
HS,MAY,02/05/2024,CREST,3,H,450,76
HS,OCT,12/10/2024,CREST,1,Bleached,30,5
HS,OCT,12/10/2024,CREST,1,H,609,95
HS,OCT,12/10/2024,CREST,2,Bleached,19,3
HS,OCT,12/10/2024,CREST,2,H,661,97
HS,OCT,12/10/2024,CREST,3,Bleached,13,2
HS,OCT,12/10/2024,CREST,3,H,522,98
HS,SEP,13/09/2024,CREST,1,Bleached,48,10
HS,SEP,13/09/2024,CREST,1,H,429,90
HS,SEP,13/09/2024,CREST,2,Bleached,25,11
HS,SEP,13/09/2024,CREST,2,H,213,89
HS,SEP,13/09/2024,CREST,3,Bleached,23,8
HS,SEP,13/09/2024,CREST,3,H,266,92
HS,SEP,25/09/2024,CREST,1,Bleached,27,5
HS,SEP,25/09/2024,CREST,1,H,528,95
HS,SEP,25/09/2024,CREST,2,Bleached,23,5
HS,SEP,25/09/2024,CREST,2,H,435,95
HS,SEP,25/09/2024,CREST,3,Bleached,21,5
HS,SEP,25/09/2024,CREST,3,H,408,95
HS,SEP,26/09/2024,CREST,1,Bleached,27,7
HS,SEP,26/09/2024,CREST,1,H,334,93
HS,SEP,26/09/2024,CREST,2,Bleached,34,8
HS,SEP,26/09/2024,CREST,2,H,388,92
HS,SEP,26/09/2024,CREST,3,Bleached,27,6
HS,SEP,26/09/2024,CREST,3,H,418,94
MH4,APR,20/04/2024,CREST,1,Bleached,230,28
MH4,APR,20/04/2024,CREST,1,H,583,72
MH4,APR,20/04/2024,CREST,2,Bleached,218,31
MH4,APR,20/04/2024,CREST,2,H,484,69
MH4,APR,20/04/2024,CREST,3,Bleached,189,24
MH4,APR,20/04/2024,CREST,3,H,587,76
MH4,APR,20/04/2024,FLAT,1,Bleached,29,5
MH4,APR,20/04/2024,FLAT,1,H,528,95
MH4,APR,20/04/2024,FLAT,2,Bleached,38,7
MH4,APR,20/04/2024,FLAT,2,H,540,93
MH4,APR,20/04/2024,FLAT,3,Bleached,56,10
MH4,APR,20/04/2024,FLAT,3,H,520,90
MH4,APR,25/04/2024,CREST,1,Bleached,173,31
MH4,APR,25/04/2024,CREST,1,H,381,69
MH4,APR,25/04/2024,CREST,2,Bleached,164,28
MH4,APR,25/04/2024,CREST,2,H,426,72
MH4,APR,25/04/2024,CREST,3,Bleached,124,29
MH4,APR,25/04/2024,CREST,3,H,300,71
MH4,APR,25/04/2024,FLAT,1,Bleached,133,20
MH4,APR,25/04/2024,FLAT,1,H,526,80
MH4,APR,25/04/2024,FLAT,2,Bleached,112,17
MH4,APR,25/04/2024,FLAT,2,H,533,83
MH4,APR,25/04/2024,FLAT,3,Bleached,75,11
MH4,APR,25/04/2024,FLAT,3,H,618,89
MH4,AUG,31/08/2024,CREST,1,Bleached,34,8
MH4,AUG,31/08/2024,CREST,1,H,390,92
MH4,AUG,31/08/2024,CREST,2,Bleached,28,7
MH4,AUG,31/08/2024,CREST,2,H,386,93
MH4,AUG,31/08/2024,CREST,3,Bleached,38,10
MH4,AUG,31/08/2024,CREST,3,H,338,90
MH4,JUL,03/07/2024,CREST,1,Bleached,303,55
MH4,JUL,03/07/2024,CREST,1,H,246,45
MH4,JUL,03/07/2024,CREST,2,Bleached,323,58
MH4,JUL,03/07/2024,CREST,2,H,233,42
MH4,JUL,03/07/2024,CREST,3,Bleached,356,55
MH4,JUL,03/07/2024,CREST,3,H,289,45
MH4,JUL,19/07/2024,CREST,1,Bleached,160,29
MH4,JUL,19/07/2024,CREST,1,H,388,71
MH4,JUL,19/07/2024,CREST,2,Bleached,191,29
MH4,JUL,19/07/2024,CREST,2,H,478,71
MH4,JUL,19/07/2024,CREST,3,Bleached,196,33
MH4,JUL,19/07/2024,CREST,3,H,404,67
MH4,JUN,28/06/2024,CREST,1,Bleached,206,54
MH4,JUN,28/06/2024,CREST,1,H,174,46
MH4,JUN,28/06/2024,CREST,2,Bleached,213,53
MH4,JUN,28/06/2024,CREST,2,H,188,47
MH4,JUN,28/06/2024,CREST,3,Bleached,223,61
MH4,JUN,28/06/2024,CREST,3,H,144,39
MH4,MAR,02/03/2024,CREST,1,Bleached,45,15
MH4,MAR,02/03/2024,CREST,1,H,259,85
MH4,MAR,02/03/2024,CREST,2,Bleached,50,14
MH4,MAR,02/03/2024,CREST,2,H,313,86
MH4,MAR,02/03/2024,CREST,3,Bleached,34,9
MH4,MAR,02/03/2024,CREST,3,H,336,91
MH4,MAR,13/03/2024,CREST,1,Bleached,9,2
MH4,MAR,13/03/2024,CREST,1,H,389,98
MH4,MAR,13/03/2024,CREST,2,Bleached,16,4
MH4,MAR,13/03/2024,CREST,2,H,370,96
MH4,MAR,13/03/2024,CREST,3,Bleached,21,5
MH4,MAR,13/03/2024,CREST,3,H,398,95
MH4,MAR,20/03/2024,CREST,1,Bleached,28,8
MH4,MAR,20/03/2024,CREST,1,H,326,92
MH4,MAR,20/03/2024,CREST,2,Bleached,18,4
MH4,MAR,20/03/2024,CREST,2,H,418,96
MH4,MAR,24/03/2024,CREST,1,Bleached,20,10
MH4,MAR,24/03/2024,CREST,1,H,189,90
MH4,MAR,24/03/2024,CREST,2,Bleached,25,10
MH4,MAR,24/03/2024,CREST,2,H,218,90
MH4,MAR,24/03/2024,CREST,3,Bleached,15,7
MH4,MAR,24/03/2024,CREST,3,H,212,93
MH4,MAR,27/03/2024,FLAT,1,Bleached,47,9
MH4,MAR,27/03/2024,FLAT,1,H,457,91
MH4,MAR,27/03/2024,FLAT,2,Bleached,23,5
MH4,MAR,27/03/2024,FLAT,2,H,410,95
MH4,MAR,27/03/2024,FLAT,3,Bleached,35,8
MH4,MAR,27/03/2024,FLAT,3,H,400,92
MH4,MAY,04/05/2024,CREST,1,Bleached,178,27
MH4,MAY,04/05/2024,CREST,1,H,479,73
MH4,MAY,04/05/2024,CREST,2,Bleached,124,19
MH4,MAY,04/05/2024,CREST,2,H,520,81
MH4,MAY,04/05/2024,CREST,3,Bleached,226,32
MH4,MAY,04/05/2024,CREST,3,H,473,68
MH4,MAY,10/05/2024,CREST,1,Bleached,82,22
MH4,MAY,10/05/2024,CREST,1,H,283,78
MH4,MAY,10/05/2024,CREST,2,Bleached,74,17
MH4,MAY,10/05/2024,CREST,2,H,350,83
MH4,MAY,10/05/2024,CREST,3,Bleached,108,24
MH4,MAY,10/05/2024,CREST,3,H,338,76
MH4,OCT,09/10/2024,CREST,1,Bleached,21,3
MH4,OCT,09/10/2024,CREST,1,H,810,97
MH4,OCT,09/10/2024,CREST,2,Bleached,12,1
MH4,OCT,09/10/2024,CREST,2,H,816,99
MH4,OCT,09/10/2024,CREST,3,Bleached,22,3
MH4,OCT,09/10/2024,CREST,3,H,654,97
MH4,OCT,31/10/2024,CREST,1,Bleached,7,6
MH4,OCT,31/10/2024,CREST,1,H,107,94
MH4,OCT,31/10/2024,CREST,2,Bleached,10,8
MH4,OCT,31/10/2024,CREST,2,H,108,92
MH4,OCT,31/10/2024,CREST,3,Bleached,13,8
MH4,OCT,31/10/2024,CREST,3,H,153,92
MH4,SEP,11/09/2024,CREST,1,Bleached,54,15
MH4,SEP,11/09/2024,CREST,1,H,300,85
MH4,SEP,11/09/2024,CREST,2,Bleached,222,57
MH4,SEP,11/09/2024,CREST,2,H,168,43
MH4,SEP,20/09/2024,CREST,1,Bleached,81,42
MH4,SEP,20/09/2024,CREST,1,H,110,58
MH4,SEP,20/09/2024,CREST,2,Bleached,47,31
MH4,SEP,20/09/2024,CREST,2,H,106,69
MH4,SEP,20/09/2024,CREST,3,Bleached,84,42
MH4,SEP,20/09/2024,CREST,3,H,117,58
